"PassengerId","Survived","Pclass","Sex","Age","Fare","has_family_member","pclass_1","pclass_2","person_female","person_child"
1,0,2,"male",22,7.25,1,0,0,0,0
2,1,1,"female",38,71.2833,1,1,0,1,0
3,1,2,"female",26,7.925,0,0,0,1,0
4,1,1,"female",35,53.1,1,1,0,1,0
5,0,2,"male",35,8.05,0,0,0,0,0
6,0,2,"male",21,8.4583,0,0,0,0,0
7,0,1,"male",54,51.8625,0,1,0,0,0
8,0,2,"male",2,21.075,1,0,0,0,1
9,1,2,"female",27,11.1333,1,0,0,1,0
10,1,2,"female",14,30.0708,1,0,1,0,1
11,1,2,"female",4,16.7,1,0,0,0,1
12,1,1,"female",58,26.55,0,1,0,1,0
13,0,2,"male",20,8.05,0,0,0,0,0
14,0,2,"male",39,31.275,1,0,0,0,0
15,0,2,"female",14,7.8542,0,0,0,0,1
16,1,2,"female",55,16,0,0,1,1,0
17,0,2,"male",2,29.125,1,0,0,0,1
18,1,2,"male",21,13,0,0,1,0,0
19,0,2,"female",31,18,1,0,0,1,0
20,1,2,"female",15,7.225,0,0,0,0,1
21,0,2,"male",35,26,0,0,1,0,0
22,1,2,"male",34,13,0,0,1,0,0
23,1,2,"female",15,8.0292,0,0,0,0,1
24,1,1,"male",28,35.5,0,1,0,0,0
25,0,2,"female",8,21.075,1,0,0,0,1
26,1,2,"female",38,31.3875,1,0,0,1,0
27,0,2,"male",25,7.225,0,0,0,0,0
28,0,1,"male",19,263,1,1,0,0,0
29,1,2,"female",24,7.8792,0,0,0,1,0
30,0,2,"male",20,7.8958,0,0,0,0,0
31,0,1,"male",40,27.7208,0,1,0,0,0
32,1,1,"female",28,146.5208,1,1,0,1,0
33,1,2,"female",20,7.75,0,0,0,1,0
34,0,2,"male",66,10.5,0,0,1,0,0
35,0,1,"male",28,82.1708,1,1,0,0,0
36,0,1,"male",42,52,1,1,0,0,0
37,1,2,"male",30,7.2292,0,0,0,0,0
38,0,2,"male",21,8.05,0,0,0,0,0
39,0,2,"female",18,18,1,0,0,1,0
40,1,2,"female",14,11.2417,1,0,0,0,1
41,0,2,"female",40,9.475,1,0,0,1,0
42,0,2,"female",27,21,1,0,1,1,0
43,0,2,"male",25,7.8958,0,0,0,0,0
44,1,2,"female",3,41.5792,1,0,1,0,1
45,1,2,"female",19,7.8792,0,0,0,1,0
46,0,2,"male",24,8.05,0,0,0,0,0
47,0,2,"male",20,15.5,1,0,0,0,0
48,1,2,"female",15,7.75,0,0,0,0,1
49,0,2,"male",24,21.6792,1,0,0,0,0
50,0,2,"female",18,17.8,1,0,0,1,0
51,0,2,"male",7,39.6875,1,0,0,0,1
52,0,2,"male",21,7.8,0,0,0,0,0
53,1,1,"female",49,76.7292,1,1,0,1,0
54,1,2,"female",29,26,1,0,1,1,0
55,0,1,"male",65,61.9792,1,1,0,0,0
56,1,1,"male",28,35.5,0,1,0,0,0
57,1,2,"female",21,10.5,0,0,1,1,0
58,0,2,"male",28.5,7.2292,0,0,0,0,0
59,1,2,"female",5,27.75,1,0,1,0,1
60,0,2,"male",11,46.9,1,0,0,0,1
61,0,2,"male",22,7.2292,0,0,0,0,0
62,1,1,"female",38,80,0,1,0,1,0
63,0,1,"male",45,83.475,1,1,0,0,0
64,0,2,"male",4,27.9,1,0,0,0,1
65,0,1,"male",16,27.7208,0,1,0,0,1
66,1,2,"male",15,15.2458,1,0,0,0,1
67,1,2,"female",29,10.5,0,0,1,1,0
68,0,2,"male",19,8.1583,0,0,0,0,0
69,1,2,"female",17,7.925,1,0,0,1,0
70,0,2,"male",26,8.6625,1,0,0,0,0
71,0,2,"male",32,10.5,0,0,1,0,0
72,0,2,"female",16,46.9,1,0,0,0,1
73,0,2,"male",21,73.5,0,0,1,0,0
74,0,2,"male",26,14.4542,1,0,0,0,0
75,1,2,"male",32,56.4958,0,0,0,0,0
76,0,2,"male",25,7.65,0,0,0,0,0
77,0,2,"male",26,7.8958,0,0,0,0,0
78,0,2,"male",29,8.05,0,0,0,0,0
79,1,2,"male",0.83,29,1,0,1,0,1
80,1,2,"female",30,12.475,0,0,0,1,0
81,0,2,"male",22,9,0,0,0,0,0
82,1,2,"male",29,9.5,0,0,0,0,0
83,1,2,"female",14,7.7875,0,0,0,0,1
84,0,1,"male",28,47.1,0,1,0,0,0
85,1,2,"female",17,10.5,0,0,1,1,0
86,1,2,"female",33,15.85,1,0,0,1,0
87,0,2,"male",16,34.375,1,0,0,0,1
88,0,2,"male",18,8.05,0,0,0,0,0
89,1,1,"female",23,263,1,1,0,1,0
90,0,2,"male",24,8.05,0,0,0,0,0
91,0,2,"male",29,8.05,0,0,0,0,0
92,0,2,"male",20,7.8542,0,0,0,0,0
93,0,1,"male",46,61.175,1,1,0,0,0
94,0,2,"male",26,20.575,1,0,0,0,0
95,0,2,"male",59,7.25,0,0,0,0,0
96,0,2,"male",14,8.05,0,0,0,0,1
97,0,1,"male",71,34.6542,0,1,0,0,0
98,1,1,"male",23,63.3583,1,1,0,0,0
99,1,2,"female",34,23,1,0,1,1,0
100,0,2,"male",34,26,1,0,1,0,0
101,0,2,"female",28,7.8958,0,0,0,1,0
102,0,2,"male",14,7.8958,0,0,0,0,1
103,0,1,"male",21,77.2875,1,1,0,0,0
104,0,2,"male",33,8.6542,0,0,0,0,0
105,0,2,"male",37,7.925,1,0,0,0,0
106,0,2,"male",28,7.8958,0,0,0,0,0
107,1,2,"female",21,7.65,0,0,0,1,0
108,1,2,"male",30,7.775,0,0,0,0,0
109,0,2,"male",38,7.8958,0,0,0,0,0
110,1,2,"female",24,24.15,1,0,0,1,0
111,0,1,"male",47,52,0,1,0,0,0
112,0,2,"female",14.5,14.4542,1,0,0,0,1
113,0,2,"male",22,8.05,0,0,0,0,0
114,0,2,"female",20,9.825,1,0,0,1,0
115,0,2,"female",17,14.4583,0,0,0,1,0
116,0,2,"male",21,7.925,0,0,0,0,0
117,0,2,"male",70.5,7.75,0,0,0,0,0
118,0,2,"male",29,21,1,0,1,0,0
119,0,1,"male",24,247.5208,1,1,0,0,0
120,0,2,"female",2,31.275,1,0,0,0,1
121,0,2,"male",21,73.5,1,0,1,0,0
122,0,2,"male",26,8.05,0,0,0,0,0
123,0,2,"male",32.5,30.0708,1,0,1,0,0
124,1,2,"female",32.5,13,0,0,1,1,0
125,0,1,"male",54,77.2875,1,1,0,0,0
126,1,2,"male",12,11.2417,1,0,0,0,1
127,0,2,"male",17,7.75,0,0,0,0,0
128,1,2,"male",24,7.1417,0,0,0,0,0
129,1,2,"female",20,22.3583,1,0,0,1,0
130,0,2,"male",45,6.975,0,0,0,0,0
131,0,2,"male",33,7.8958,0,0,0,0,0
132,0,2,"male",20,7.05,0,0,0,0,0
133,0,2,"female",47,14.5,1,0,0,1,0
134,1,2,"female",29,26,1,0,1,1,0
135,0,2,"male",25,13,0,0,1,0,0
136,0,2,"male",23,15.0458,0,0,1,0,0
137,1,1,"female",19,26.2833,1,1,0,1,0
138,0,1,"male",37,53.1,1,1,0,0,0
139,0,2,"male",16,9.2167,0,0,0,0,1
140,0,1,"male",24,79.2,0,1,0,0,0
141,0,2,"female",30,15.2458,1,0,0,1,0
142,1,2,"female",22,7.75,0,0,0,1,0
143,1,2,"female",24,15.85,1,0,0,1,0
144,0,2,"male",19,6.75,0,0,0,0,0
145,0,2,"male",18,11.5,0,0,1,0,0
146,0,2,"male",19,36.75,1,0,1,0,0
147,1,2,"male",27,7.7958,0,0,0,0,0
148,0,2,"female",9,34.375,1,0,0,0,1
149,0,2,"male",36.5,26,1,0,1,0,0
150,0,2,"male",42,13,0,0,1,0,0
151,0,2,"male",51,12.525,0,0,1,0,0
152,1,1,"female",22,66.6,1,1,0,1,0
153,0,2,"male",55.5,8.05,0,0,0,0,0
154,0,2,"male",40.5,14.5,1,0,0,0,0
155,0,2,"male",23,7.3125,0,0,0,0,0
156,0,1,"male",51,61.3792,1,1,0,0,0
157,1,2,"female",16,7.7333,0,0,0,0,1
158,0,2,"male",30,8.05,0,0,0,0,0
159,0,2,"male",22,8.6625,0,0,0,0,0
160,0,2,"male",14,69.55,1,0,0,0,1
161,0,2,"male",44,16.1,1,0,0,0,0
162,1,2,"female",40,15.75,0,0,1,1,0
163,0,2,"male",26,7.775,0,0,0,0,0
164,0,2,"male",17,8.6625,0,0,0,0,0
165,0,2,"male",1,39.6875,1,0,0,0,1
166,1,2,"male",9,20.525,1,0,0,0,1
167,1,1,"female",27,55,1,1,0,1,0
168,0,2,"female",45,27.9,1,0,0,1,0
169,0,1,"male",28,25.925,0,1,0,0,0
170,0,2,"male",28,56.4958,0,0,0,0,0
171,0,1,"male",61,33.5,0,1,0,0,0
172,0,2,"male",4,29.125,1,0,0,0,1
173,1,2,"female",1,11.1333,1,0,0,0,1
174,0,2,"male",21,7.925,0,0,0,0,0
175,0,1,"male",56,30.6958,0,1,0,0,0
176,0,2,"male",18,7.8542,1,0,0,0,0
177,0,2,"male",15,25.4667,1,0,0,0,1
178,0,1,"female",50,28.7125,0,1,0,1,0
179,0,2,"male",30,13,0,0,1,0,0
180,0,2,"male",36,0,0,0,0,0,0
181,0,2,"female",17,69.55,1,0,0,1,0
182,0,2,"male",24,15.05,0,0,1,0,0
183,0,2,"male",9,31.3875,1,0,0,0,1
184,1,2,"male",1,39,1,0,1,0,1
185,1,2,"female",4,22.025,1,0,0,0,1
186,0,1,"male",23,50,0,1,0,0,0
187,1,2,"female",25,15.5,1,0,0,1,0
188,1,1,"male",45,26.55,0,1,0,0,0
189,0,2,"male",40,15.5,1,0,0,0,0
190,0,2,"male",36,7.8958,0,0,0,0,0
191,1,2,"female",32,13,0,0,1,1,0
192,0,2,"male",19,13,0,0,1,0,0
193,1,2,"female",19,7.8542,1,0,0,1,0
194,1,2,"male",3,26,1,0,1,0,1
195,1,1,"female",44,27.7208,0,1,0,1,0
196,1,1,"female",58,146.5208,0,1,0,1,0
197,0,2,"male",16,7.75,0,0,0,0,1
198,0,2,"male",42,8.4042,1,0,0,0,0
199,1,2,"female",16,7.75,0,0,0,0,1
200,0,2,"female",24,13,0,0,1,1,0
201,0,2,"male",28,9.5,0,0,0,0,0
202,0,2,"male",17,69.55,1,0,0,0,0
203,0,2,"male",34,6.4958,0,0,0,0,0
204,0,2,"male",45.5,7.225,0,0,0,0,0
205,1,2,"male",18,8.05,0,0,0,0,0
206,0,2,"female",2,10.4625,1,0,0,0,1
207,0,2,"male",32,15.85,1,0,0,0,0
208,1,2,"male",26,18.7875,0,0,0,0,0
209,1,2,"female",16,7.75,0,0,0,0,1
210,1,1,"male",40,31,0,1,0,0,0
211,0,2,"male",24,7.05,0,0,0,0,0
212,1,2,"female",35,21,0,0,1,1,0
213,0,2,"male",22,7.25,0,0,0,0,0
214,0,2,"male",30,13,0,0,1,0,0
215,0,2,"male",14,7.75,1,0,0,0,1
216,1,1,"female",31,113.275,1,1,0,1,0
217,1,2,"female",27,7.925,0,0,0,1,0
218,0,2,"male",42,27,1,0,1,0,0
219,1,1,"female",32,76.2917,0,1,0,1,0
220,0,2,"male",30,10.5,0,0,1,0,0
221,1,2,"male",16,8.05,0,0,0,0,1
222,0,2,"male",27,13,0,0,1,0,0
223,0,2,"male",51,8.05,0,0,0,0,0
224,0,2,"male",29,7.8958,0,0,0,0,0
225,1,1,"male",38,90,1,1,0,0,0
226,0,2,"male",22,9.35,0,0,0,0,0
227,1,2,"male",19,10.5,0,0,1,0,0
228,0,2,"male",20.5,7.25,0,0,0,0,0
229,0,2,"male",18,13,0,0,1,0,0
230,0,2,"female",30,25.4667,1,0,0,1,0
231,1,1,"female",35,83.475,1,1,0,1,0
232,0,2,"male",29,7.775,0,0,0,0,0
233,0,2,"male",59,13.5,0,0,1,0,0
234,1,2,"female",5,31.3875,1,0,0,0,1
235,0,2,"male",24,10.5,0,0,1,0,0
236,0,2,"female",22,7.55,0,0,0,1,0
237,0,2,"male",44,26,1,0,1,0,0
238,1,2,"female",8,26.25,1,0,1,0,1
239,0,2,"male",19,10.5,0,0,1,0,0
240,0,2,"male",33,12.275,0,0,1,0,0
241,0,2,"female",14,14.4542,1,0,0,0,1
242,1,2,"female",21,15.5,1,0,0,1,0
243,0,2,"male",29,10.5,0,0,1,0,0
244,0,2,"male",22,7.125,0,0,0,0,0
245,0,2,"male",30,7.225,0,0,0,0,0
246,0,1,"male",44,90,1,1,0,0,0
247,0,2,"female",25,7.775,0,0,0,1,0
248,1,2,"female",24,14.5,1,0,1,1,0
249,1,1,"male",37,52.5542,1,1,0,0,0
250,0,2,"male",54,26,1,0,1,0,0
251,0,2,"male",27,7.25,0,0,0,0,0
252,0,2,"female",29,10.4625,1,0,0,1,0
253,0,1,"male",62,26.55,0,1,0,0,0
254,0,2,"male",30,16.1,1,0,0,0,0
255,0,2,"female",41,20.2125,1,0,0,1,0
256,1,2,"female",29,15.2458,1,0,0,1,0
257,1,1,"female",18,79.2,0,1,0,1,0
258,1,1,"female",30,86.5,0,1,0,1,0
259,1,1,"female",35,512.3292,0,1,0,1,0
260,1,2,"female",50,26,1,0,1,1,0
261,0,2,"male",14,7.75,0,0,0,0,1
262,1,2,"male",3,31.3875,1,0,0,0,1
263,0,1,"male",52,79.65,1,1,0,0,0
264,0,1,"male",40,0,0,1,0,0,0
265,0,2,"female",30,7.75,0,0,0,1,0
266,0,2,"male",36,10.5,0,0,1,0,0
267,0,2,"male",16,39.6875,1,0,0,0,1
268,1,2,"male",25,7.775,1,0,0,0,0
269,1,1,"female",58,153.4625,1,1,0,1,0
270,1,1,"female",35,135.6333,0,1,0,1,0
271,0,1,"male",24,31,0,1,0,0,0
272,1,2,"male",25,0,0,0,0,0,0
273,1,2,"female",41,19.5,1,0,1,1,0
274,0,1,"male",37,29.7,1,1,0,0,0
275,1,2,"female",25,7.75,0,0,0,1,0
276,1,1,"female",63,77.9583,1,1,0,1,0
277,0,2,"female",45,7.75,0,0,0,1,0
278,0,2,"male",16,0,0,0,1,0,1
279,0,2,"male",7,29.125,1,0,0,0,1
280,1,2,"female",35,20.25,1,0,0,1,0
281,0,2,"male",65,7.75,0,0,0,0,0
282,0,2,"male",28,7.8542,0,0,0,0,0
283,0,2,"male",16,9.5,0,0,0,0,1
284,1,2,"male",19,8.05,0,0,0,0,0
285,0,1,"male",26,26,0,1,0,0,0
286,0,2,"male",33,8.6625,0,0,0,0,0
287,1,2,"male",30,9.5,0,0,0,0,0
288,0,2,"male",22,7.8958,0,0,0,0,0
289,1,2,"male",42,13,0,0,1,0,0
290,1,2,"female",22,7.75,0,0,0,1,0
291,1,1,"female",26,78.85,0,1,0,1,0
292,1,1,"female",19,91.0792,1,1,0,1,0
293,0,2,"male",36,12.875,0,0,1,0,0
294,0,2,"female",24,8.85,0,0,0,1,0
295,0,2,"male",24,7.8958,0,0,0,0,0
296,0,1,"male",15,27.7208,0,1,0,0,1
297,0,2,"male",23.5,7.2292,0,0,0,0,0
298,0,1,"female",2,151.55,1,1,0,0,1
299,1,1,"male",25,30.5,0,1,0,0,0
300,1,1,"female",50,247.5208,1,1,0,1,0
301,1,2,"female",16,7.75,0,0,0,0,1
302,1,2,"male",18,23.25,1,0,0,0,0
303,0,2,"male",19,0,0,0,0,0,0
304,1,2,"female",25,12.35,0,0,1,1,0
305,0,2,"male",30,8.05,0,0,0,0,0
306,1,1,"male",0.92,151.55,1,1,0,0,1
307,1,1,"female",30,110.8833,0,1,0,1,0
308,1,1,"female",17,108.9,1,1,0,1,0
309,0,2,"male",30,24,1,0,1,0,0
310,1,1,"female",30,56.9292,0,1,0,1,0
311,1,1,"female",24,83.1583,0,1,0,1,0
312,1,1,"female",18,262.375,1,1,0,1,0
313,0,2,"female",26,26,1,0,1,1,0
314,0,2,"male",28,7.8958,0,0,0,0,0
315,0,2,"male",43,26.25,1,0,1,0,0
316,1,2,"female",26,7.8542,0,0,0,1,0
317,1,2,"female",24,26,1,0,1,1,0
318,0,2,"male",54,14,0,0,1,0,0
319,1,1,"female",31,164.8667,1,1,0,1,0
320,1,1,"female",40,134.5,1,1,0,1,0
321,0,2,"male",22,7.25,0,0,0,0,0
322,0,2,"male",27,7.8958,0,0,0,0,0
323,1,2,"female",30,12.35,0,0,1,1,0
324,1,2,"female",22,29,1,0,1,1,0
325,0,2,"male",22,69.55,1,0,0,0,0
326,1,1,"female",36,135.6333,0,1,0,1,0
327,0,2,"male",61,6.2375,0,0,0,0,0
328,1,2,"female",36,13,0,0,1,1,0
329,1,2,"female",31,20.525,1,0,0,1,0
330,1,1,"female",16,57.9792,1,1,0,0,1
331,1,2,"female",21,23.25,1,0,0,1,0
332,0,1,"male",45.5,28.5,0,1,0,0,0
333,0,1,"male",38,153.4625,1,1,0,0,0
334,0,2,"male",16,18,1,0,0,0,1
335,1,1,"female",25,133.65,1,1,0,1,0
336,0,2,"male",28,7.8958,0,0,0,0,0
337,0,1,"male",29,66.6,1,1,0,0,0
338,1,1,"female",41,134.5,0,1,0,1,0
339,1,2,"male",45,8.05,0,0,0,0,0
340,0,1,"male",45,35.5,0,1,0,0,0
341,1,2,"male",2,26,1,0,1,0,1
342,1,1,"female",24,263,1,1,0,1,0
343,0,2,"male",28,13,0,0,1,0,0
344,0,2,"male",25,13,0,0,1,0,0
345,0,2,"male",36,13,0,0,1,0,0
346,1,2,"female",24,13,0,0,1,1,0
347,1,2,"female",40,13,0,0,1,1,0
348,1,2,"female",29,16.1,1,0,0,1,0
349,1,2,"male",3,15.9,1,0,0,0,1
350,0,2,"male",42,8.6625,0,0,0,0,0
351,0,2,"male",23,9.225,0,0,0,0,0
352,0,1,"male",28,35,0,1,0,0,0
353,0,2,"male",15,7.2292,1,0,0,0,1
354,0,2,"male",25,17.8,1,0,0,0,0
355,0,2,"male",17,7.225,0,0,0,0,0
356,0,2,"male",28,9.5,0,0,0,0,0
357,1,1,"female",22,55,1,1,0,1,0
358,0,2,"female",38,13,0,0,1,1,0
359,1,2,"female",23,7.8792,0,0,0,1,0
360,1,2,"female",22,7.8792,0,0,0,1,0
361,0,2,"male",40,27.9,1,0,0,0,0
362,0,2,"male",29,27.7208,1,0,1,0,0
363,0,2,"female",45,14.4542,1,0,0,1,0
364,0,2,"male",35,7.05,0,0,0,0,0
365,0,2,"male",21,15.5,1,0,0,0,0
366,0,2,"male",30,7.25,0,0,0,0,0
367,1,1,"female",60,75.25,1,1,0,1,0
368,1,2,"female",21,7.2292,0,0,0,1,0
369,1,2,"female",14,7.75,0,0,0,0,1
370,1,1,"female",24,69.3,0,1,0,1,0
371,1,1,"male",25,55.4417,1,1,0,0,0
372,0,2,"male",18,6.4958,1,0,0,0,0
373,0,2,"male",19,8.05,0,0,0,0,0
374,0,1,"male",22,135.6333,0,1,0,0,0
375,0,2,"female",3,21.075,1,0,0,0,1
376,1,1,"female",21,82.1708,1,1,0,1,0
377,1,2,"female",22,7.25,0,0,0,1,0
378,0,1,"male",27,211.5,1,1,0,0,0
379,0,2,"male",20,4.0125,0,0,0,0,0
380,0,2,"male",19,7.775,0,0,0,0,0
381,1,1,"female",42,227.525,0,1,0,1,0
382,1,2,"female",1,15.7417,1,0,0,0,1
383,0,2,"male",32,7.925,0,0,0,0,0
384,1,1,"female",35,52,1,1,0,1,0
385,0,2,"male",26,7.8958,0,0,0,0,0
386,0,2,"male",18,73.5,0,0,1,0,0
387,0,2,"male",1,46.9,1,0,0,0,1
388,1,2,"female",36,13,0,0,1,1,0
389,0,2,"male",20,7.7292,0,0,0,0,0
390,1,2,"female",17,12,0,0,1,1,0
391,1,1,"male",36,120,1,1,0,0,0
392,1,2,"male",21,7.7958,0,0,0,0,0
393,0,2,"male",28,7.925,1,0,0,0,0
394,1,1,"female",23,113.275,1,1,0,1,0
395,1,2,"female",24,16.7,1,0,0,1,0
396,0,2,"male",22,7.7958,0,0,0,0,0
397,0,2,"female",31,7.8542,0,0,0,1,0
398,0,2,"male",46,26,0,0,1,0,0
399,0,2,"male",23,10.5,0,0,1,0,0
400,1,2,"female",28,12.65,0,0,1,1,0
401,1,2,"male",39,7.925,0,0,0,0,0
402,0,2,"male",26,8.05,0,0,0,0,0
403,0,2,"female",21,9.825,1,0,0,1,0
404,0,2,"male",28,15.85,1,0,0,0,0
405,0,2,"female",20,8.6625,0,0,0,1,0
406,0,2,"male",34,21,1,0,1,0,0
407,0,2,"male",51,7.75,0,0,0,0,0
408,1,2,"male",3,18.75,1,0,1,0,1
409,0,2,"male",21,7.775,0,0,0,0,0
410,0,2,"female",14,25.4667,1,0,0,0,1
411,0,2,"male",25,7.8958,0,0,0,0,0
412,0,2,"male",17,6.8583,0,0,0,0,0
413,1,1,"female",33,90,1,1,0,1,0
414,0,2,"male",23,0,0,0,1,0,0
415,1,2,"male",44,7.925,0,0,0,0,0
416,0,2,"female",21,8.05,0,0,0,1,0
417,1,2,"female",34,32.5,1,0,1,1,0
418,1,2,"female",18,13,1,0,1,1,0
419,0,2,"male",30,13,0,0,1,0,0
420,0,2,"female",10,24.15,1,0,0,0,1
421,0,2,"male",28,7.8958,0,0,0,0,0
422,0,2,"male",21,7.7333,0,0,0,0,0
423,0,2,"male",29,7.875,0,0,0,0,0
424,0,2,"female",28,14.4,1,0,0,1,0
425,0,2,"male",18,20.2125,1,0,0,0,0
426,0,2,"male",29,7.25,0,0,0,0,0
427,1,2,"female",28,26,1,0,1,1,0
428,1,2,"female",19,26,0,0,1,1,0
429,0,2,"male",30,7.75,0,0,0,0,0
430,1,2,"male",32,8.05,0,0,0,0,0
431,1,1,"male",28,26.55,0,1,0,0,0
432,1,2,"female",17,16.1,1,0,0,1,0
433,1,2,"female",42,26,1,0,1,1,0
434,0,2,"male",17,7.125,0,0,0,0,0
435,0,1,"male",50,55.9,1,1,0,0,0
436,1,1,"female",14,120,1,1,0,0,1
437,0,2,"female",21,34.375,1,0,0,1,0
438,1,2,"female",24,18.75,1,0,1,1,0
