"PassengerId","Survived","Age","Fare","has_family_member","pclass_1","pclass_2","person_female","person_child"
1,0,22,7.25,1,0,0,0,0
2,1,38,71.2833,1,1,0,1,0
3,1,26,7.925,0,0,0,1,0
4,1,35,53.1,1,1,0,1,0
5,0,35,8.05,0,0,0,0,0
6,0,18,8.4583,0,0,0,0,0
7,0,54,51.8625,0,1,0,0,0
8,0,2,21.075,1,0,0,0,1
9,1,27,11.1333,1,0,0,1,0
10,1,14,30.0708,1,0,1,0,1
11,1,4,16.7,1,0,0,0,1
12,1,58,26.55,0,1,0,1,0
13,0,20,8.05,0,0,0,0,0
14,0,39,31.275,1,0,0,0,0
15,0,14,7.8542,0,0,0,0,1
16,1,55,16,0,0,1,1,0
17,0,2,29.125,1,0,0,0,1
18,1,17,13,0,0,1,0,0
19,0,31,18,1,0,0,1,0
20,1,28,7.225,0,0,0,1,0
21,0,35,26,0,0,1,0,0
22,1,34,13,0,0,1,0,0
23,1,15,8.0292,0,0,0,0,1
24,1,28,35.5,0,1,0,0,0
25,0,8,21.075,1,0,0,0,1
26,1,38,31.3875,1,0,0,1,0
27,0,29,7.225,0,0,0,0,0
28,0,19,263,1,1,0,0,0
29,1,17,7.8792,0,0,0,1,0
30,0,17,7.8958,0,0,0,0,0
31,0,40,27.7208,0,1,0,0,0
32,1,27,146.5208,1,1,0,1,0
33,1,18,7.75,0,0,0,1,0
34,0,66,10.5,0,0,1,0,0
35,0,28,82.1708,1,1,0,0,0
36,0,42,52,1,1,0,0,0
37,1,30,7.2292,0,0,0,0,0
38,0,21,8.05,0,0,0,0,0
39,0,18,18,1,0,0,1,0
40,1,14,11.2417,1,0,0,0,1
41,0,40,9.475,1,0,0,1,0
42,0,27,21,1,0,1,1,0
43,0,15,7.8958,0,0,0,0,1
44,1,3,41.5792,1,0,1,0,1
45,1,19,7.8792,0,0,0,1,0
46,0,21,8.05,0,0,0,0,0
47,0,23,15.5,1,0,0,0,0
48,1,21,7.75,0,0,0,1,0
49,0,26,21.6792,1,0,0,0,0
50,0,18,17.8,1,0,0,1,0
51,0,7,39.6875,1,0,0,0,1
52,0,21,7.8,0,0,0,0,0
53,1,49,76.7292,1,1,0,1,0
54,1,29,26,1,0,1,1,0
55,0,65,61.9792,1,1,0,0,0
56,1,20,35.5,0,1,0,0,0
57,1,21,10.5,0,0,1,1,0
58,0,28.5,7.2292,0,0,0,0,0
59,1,5,27.75,1,0,1,0,1
60,0,11,46.9,1,0,0,0,1
61,0,22,7.2292,0,0,0,0,0
62,1,38,80,0,1,0,1,0
63,0,45,83.475,1,1,0,0,0
64,0,4,27.9,1,0,0,0,1
65,0,27,27.7208,0,1,0,0,0
66,1,23,15.2458,1,0,0,0,0
67,1,29,10.5,0,0,1,1,0
68,0,19,8.1583,0,0,0,0,0
69,1,17,7.925,1,0,0,1,0
70,0,26,8.6625,1,0,0,0,0
71,0,32,10.5,0,0,1,0,0
72,0,16,46.9,1,0,0,0,1
73,0,21,73.5,0,0,1,0,0
74,0,26,14.4542,1,0,0,0,0
75,1,32,56.4958,0,0,0,0,0
76,0,25,7.65,0,0,0,0,0
77,0,29,7.8958,0,0,0,0,0
78,0,23,8.05,0,0,0,0,0
79,1,0.83,29,1,0,1,0,1
80,1,30,12.475,0,0,0,1,0
81,0,22,9,0,0,0,0,0
82,1,29,9.5,0,0,0,0,0
83,1,23,7.7875,0,0,0,1,0
84,0,28,47.1,0,1,0,0,0
85,1,17,10.5,0,0,1,1,0
86,1,33,15.85,1,0,0,1,0
87,0,16,34.375,1,0,0,0,1
88,0,21,8.05,0,0,0,0,0
89,1,23,263,1,1,0,1,0
90,0,24,8.05,0,0,0,0,0
91,0,29,8.05,0,0,0,0,0
92,0,20,7.8542,0,0,0,0,0
93,0,46,61.175,1,1,0,0,0
94,0,26,20.575,1,0,0,0,0
95,0,59,7.25,0,0,0,0,0
96,0,24,8.05,0,0,0,0,0
97,0,71,34.6542,0,1,0,0,0
98,1,23,63.3583,1,1,0,0,0
99,1,34,23,1,0,1,1,0
100,0,34,26,1,0,1,0,0
101,0,28,7.8958,0,0,0,1,0
102,0,22,7.8958,0,0,0,0,0
103,0,21,77.2875,1,1,0,0,0
104,0,33,8.6542,0,0,0,0,0
105,0,37,7.925,1,0,0,0,0
106,0,28,7.8958,0,0,0,0,0
107,1,21,7.65,0,0,0,1,0
108,1,23,7.775,0,0,0,0,0
109,0,38,7.8958,0,0,0,0,0
110,1,22,24.15,1,0,0,1,0
111,0,47,52,0,1,0,0,0
112,0,14.5,14.4542,1,0,0,0,1
113,0,22,8.05,0,0,0,0,0
114,0,20,9.825,1,0,0,1,0
115,0,17,14.4583,0,0,0,1,0
116,0,21,7.925,0,0,0,0,0
117,0,70.5,7.75,0,0,0,0,0
118,0,29,21,1,0,1,0,0
119,0,24,247.5208,1,1,0,0,0
120,0,2,31.275,1,0,0,0,1
121,0,21,73.5,1,0,1,0,0
122,0,23,8.05,0,0,0,0,0
123,0,32.5,30.0708,1,0,1,0,0
124,1,32.5,13,0,0,1,1,0
125,0,54,77.2875,1,1,0,0,0
126,1,12,11.2417,1,0,0,0,1
127,0,29,7.75,0,0,0,0,0
128,1,24,7.1417,0,0,0,0,0
129,1,28,22.3583,1,0,0,1,0
130,0,45,6.975,0,0,0,0,0
131,0,33,7.8958,0,0,0,0,0
132,0,20,7.05,0,0,0,0,0
133,0,47,14.5,1,0,0,1,0
134,1,29,26,1,0,1,1,0
135,0,25,13,0,0,1,0,0
136,0,23,15.0458,0,0,1,0,0
137,1,19,26.2833,1,1,0,1,0
138,0,37,53.1,1,1,0,0,0
139,0,16,9.2167,0,0,0,0,1
140,0,24,79.2,0,1,0,0,0
141,0,27,15.2458,1,0,0,1,0
142,1,22,7.75,0,0,0,1,0
143,1,24,15.85,1,0,0,1,0
144,0,19,6.75,0,0,0,0,0
145,0,18,11.5,0,0,1,0,0
146,0,19,36.75,1,0,1,0,0
147,1,27,7.7958,0,0,0,0,0
148,0,9,34.375,1,0,0,0,1
149,0,36.5,26,1,0,1,0,0
150,0,42,13,0,0,1,0,0
151,0,51,12.525,0,0,1,0,0
152,1,22,66.6,1,1,0,1,0
153,0,55.5,8.05,0,0,0,0,0
154,0,40.5,14.5,1,0,0,0,0
155,0,19,7.3125,0,0,0,0,0
156,0,51,61.3792,1,1,0,0,0
157,1,16,7.7333,0,0,0,0,1
158,0,30,8.05,0,0,0,0,0
159,0,25,8.6625,0,0,0,0,0
160,0,30,69.55,1,0,0,0,0
161,0,44,16.1,1,0,0,0,0
162,1,40,15.75,0,0,1,1,0
163,0,26,7.775,0,0,0,0,0
164,0,17,8.6625,0,0,0,0,0
165,0,1,39.6875,1,0,0,0,1
166,1,9,20.525,1,0,0,0,1
167,1,30,55,1,1,0,1,0
168,0,45,27.9,1,0,0,1,0
169,0,30,25.925,0,1,0,0,0
170,0,28,56.4958,0,0,0,0,0
171,0,61,33.5,0,1,0,0,0
172,0,4,29.125,1,0,0,0,1
173,1,1,11.1333,1,0,0,0,1
174,0,21,7.925,0,0,0,0,0
175,0,56,30.6958,0,1,0,0,0
176,0,18,7.8542,1,0,0,0,0
177,0,16,25.4667,1,0,0,0,1
178,0,50,28.7125,0,1,0,1,0
179,0,30,13,0,0,1,0,0
180,0,36,0,0,0,0,0,0
181,0,30,69.55,1,0,0,1,0
182,0,27,15.05,0,0,1,0,0
183,0,9,31.3875,1,0,0,0,1
184,1,1,39,1,0,1,0,1
185,1,4,22.025,1,0,0,0,1
186,0,28,50,0,1,0,0,0
187,1,24,15.5,1,0,0,1,0
188,1,45,26.55,0,1,0,0,0
189,0,40,15.5,1,0,0,0,0
190,0,36,7.8958,0,0,0,0,0
191,1,32,13,0,0,1,1,0
192,0,19,13,0,0,1,0,0
193,1,19,7.8542,1,0,0,1,0
194,1,3,26,1,0,1,0,1
195,1,44,27.7208,0,1,0,1,0
196,1,58,146.5208,0,1,0,1,0
197,0,30,7.75,0,0,0,0,0
198,0,42,8.4042,1,0,0,0,0
199,1,30,7.75,0,0,0,1,0
200,0,24,13,0,0,1,1,0
201,0,28,9.5,0,0,0,0,0
202,0,16,69.55,1,0,0,0,1
203,0,34,6.4958,0,0,0,0,0
204,0,45.5,7.225,0,0,0,0,0
205,1,18,8.05,0,0,0,0,0
206,0,2,10.4625,1,0,0,0,1
207,0,32,15.85,1,0,0,0,0
208,1,26,18.7875,0,0,0,0,0
209,1,16,7.75,0,0,0,0,1
210,1,40,31,0,1,0,0,0
211,0,24,7.05,0,0,0,0,0
212,1,35,21,0,0,1,1,0
213,0,22,7.25,0,0,0,0,0
214,0,30,13,0,0,1,0,0
215,0,26,7.75,1,0,0,0,0
216,1,31,113.275,1,1,0,1,0
217,1,27,7.925,0,0,0,1,0
218,0,42,27,1,0,1,0,0
219,1,32,76.2917,0,1,0,1,0
220,0,30,10.5,0,0,1,0,0
221,1,16,8.05,0,0,0,0,1
222,0,27,13,0,0,1,0,0
223,0,51,8.05,0,0,0,0,0
224,0,23,7.8958,0,0,0,0,0
225,1,38,90,1,1,0,0,0
226,0,22,9.35,0,0,0,0,0
227,1,19,10.5,0,0,1,0,0
228,0,20.5,7.25,0,0,0,0,0
229,0,18,13,0,0,1,0,0
230,0,28,25.4667,1,0,0,1,0
231,1,35,83.475,1,1,0,1,0
232,0,29,7.775,0,0,0,0,0
233,0,59,13.5,0,0,1,0,0
234,1,5,31.3875,1,0,0,0,1
235,0,24,10.5,0,0,1,0,0
236,0,14,7.55,0,0,0,0,1
237,0,44,26,1,0,1,0,0
238,1,8,26.25,1,0,1,0,1
239,0,19,10.5,0,0,1,0,0
240,0,33,12.275,0,0,1,0,0
241,0,16,14.4542,1,0,0,0,1
242,1,20,15.5,1,0,0,1,0
243,0,29,10.5,0,0,1,0,0
244,0,22,7.125,0,0,0,0,0
245,0,30,7.225,0,0,0,0,0
246,0,44,90,1,1,0,0,0
247,0,25,7.775,0,0,0,1,0
248,1,24,14.5,1,0,1,1,0
249,1,37,52.5542,1,1,0,0,0
250,0,54,26,1,0,1,0,0
251,0,25,7.25,0,0,0,0,0
252,0,29,10.4625,1,0,0,1,0
253,0,62,26.55,0,1,0,0,0
254,0,30,16.1,1,0,0,0,0
255,0,41,20.2125,1,0,0,1,0
256,1,29,15.2458,1,0,0,1,0
257,1,23,79.2,0,1,0,1,0
258,1,30,86.5,0,1,0,1,0
259,1,35,512.3292,0,1,0,1,0
260,1,50,26,1,0,1,1,0
261,0,25,7.75,0,0,0,0,0
262,1,3,31.3875,1,0,0,0,1
263,0,52,79.65,1,1,0,0,0
264,0,40,0,0,1,0,0,0
265,0,25,7.75,0,0,0,1,0
266,0,36,10.5,0,0,1,0,0
267,0,16,39.6875,1,0,0,0,1
268,1,25,7.775,1,0,0,0,0
269,1,58,153.4625,1,1,0,1,0
270,1,35,135.6333,0,1,0,1,0
271,0,14,31,0,1,0,0,1
272,1,25,0,0,0,0,0,0
273,1,41,19.5,1,0,1,1,0
274,0,37,29.7,1,1,0,0,0
275,1,29,7.75,0,0,0,1,0
276,1,63,77.9583,1,1,0,1,0
277,0,45,7.75,0,0,0,1,0
278,0,27,0,0,0,1,0,0
279,0,7,29.125,1,0,0,0,1
280,1,35,20.25,1,0,0,1,0
281,0,65,7.75,0,0,0,0,0
282,0,28,7.8542,0,0,0,0,0
283,0,16,9.5,0,0,0,0,1
284,1,19,8.05,0,0,0,0,0
285,0,30,26,0,1,0,0,0
286,0,33,8.6625,0,0,0,0,0
287,1,30,9.5,0,0,0,0,0
288,0,22,7.8958,0,0,0,0,0
289,1,42,13,0,0,1,0,0
290,1,22,7.75,0,0,0,1,0
291,1,26,78.85,0,1,0,1,0
292,1,19,91.0792,1,1,0,1,0
293,0,36,12.875,0,0,1,0,0
294,0,24,8.85,0,0,0,1,0
295,0,24,7.8958,0,0,0,0,0
296,0,28,27.7208,0,1,0,0,0
297,0,23.5,7.2292,0,0,0,0,0
298,0,2,151.55,1,1,0,0,1
299,1,30,30.5,0,1,0,0,0
300,1,50,247.5208,1,1,0,1,0
301,1,23,7.75,0,0,0,1,0
302,1,27,23.25,1,0,0,0,0
303,0,19,0,0,0,0,0,0
304,1,18,12.35,0,0,1,1,0
305,0,19,8.05,0,0,0,0,0
306,1,0.92,151.55,1,1,0,0,1
307,1,26,110.8833,0,1,0,1,0
308,1,17,108.9,1,1,0,1,0
309,0,30,24,1,0,1,0,0
310,1,30,56.9292,0,1,0,1,0
311,1,24,83.1583,0,1,0,1,0
312,1,18,262.375,1,1,0,1,0
313,0,26,26,1,0,1,1,0
314,0,28,7.8958,0,0,0,0,0
315,0,43,26.25,1,0,1,0,0
316,1,26,7.8542,0,0,0,1,0
317,1,24,26,1,0,1,1,0
318,0,54,14,0,0,1,0,0
319,1,31,164.8667,1,1,0,1,0
320,1,40,134.5,1,1,0,1,0
321,0,22,7.25,0,0,0,0,0
322,0,27,7.8958,0,0,0,0,0
323,1,30,12.35,0,0,1,1,0
324,1,22,29,1,0,1,1,0
325,0,24,69.55,1,0,0,0,0
326,1,36,135.6333,0,1,0,1,0
327,0,61,6.2375,0,0,0,0,0
328,1,36,13,0,0,1,1,0
329,1,31,20.525,1,0,0,1,0
330,1,16,57.9792,1,1,0,0,1
331,1,25,23.25,1,0,0,1,0
332,0,45.5,28.5,0,1,0,0,0
333,0,38,153.4625,1,1,0,0,0
334,0,16,18,1,0,0,0,1
335,1,24,133.65,1,1,0,1,0
336,0,24,7.8958,0,0,0,0,0
337,0,29,66.6,1,1,0,0,0
338,1,41,134.5,0,1,0,1,0
339,1,45,8.05,0,0,0,0,0
340,0,45,35.5,0,1,0,0,0
341,1,2,26,1,0,1,0,1
342,1,24,263,1,1,0,1,0
343,0,28,13,0,0,1,0,0
344,0,25,13,0,0,1,0,0
345,0,36,13,0,0,1,0,0
346,1,24,13,0,0,1,1,0
347,1,40,13,0,0,1,1,0
348,1,16,16.1,1,0,0,0,1
349,1,3,15.9,1,0,0,0,1
350,0,42,8.6625,0,0,0,0,0
351,0,23,9.225,0,0,0,0,0
352,0,27,35,0,1,0,0,0
353,0,15,7.2292,1,0,0,0,1
354,0,25,17.8,1,0,0,0,0
355,0,15,7.225,0,0,0,0,1
356,0,28,9.5,0,0,0,0,0
357,1,22,55,1,1,0,1,0
358,0,38,13,0,0,1,1,0
359,1,26,7.8792,0,0,0,1,0
360,1,16,7.8792,0,0,0,0,1
361,0,40,27.9,1,0,0,0,0
362,0,29,27.7208,1,0,1,0,0
363,0,45,14.4542,1,0,0,1,0
364,0,35,7.05,0,0,0,0,0
365,0,25,15.5,1,0,0,0,0
366,0,30,7.25,0,0,0,0,0
367,1,60,75.25,1,1,0,1,0
368,1,17,7.2292,0,0,0,1,0
369,1,29,7.75,0,0,0,1,0
370,1,24,69.3,0,1,0,1,0
371,1,25,55.4417,1,1,0,0,0
372,0,18,6.4958,1,0,0,0,0
373,0,19,8.05,0,0,0,0,0
374,0,22,135.6333,0,1,0,0,0
375,0,3,21.075,1,0,0,0,1
376,1,15,82.1708,1,1,0,0,1
377,1,22,7.25,0,0,0,1,0
378,0,27,211.5,1,1,0,0,0
379,0,20,4.0125,0,0,0,0,0
380,0,19,7.775,0,0,0,0,0
381,1,42,227.525,0,1,0,1,0
382,1,1,15.7417,1,0,0,0,1
383,0,32,7.925,0,0,0,0,0
384,1,35,52,1,1,0,1,0
385,0,24,7.8958,0,0,0,0,0
386,0,18,73.5,0,0,1,0,0
387,0,1,46.9,1,0,0,0,1
388,1,36,13,0,0,1,1,0
389,0,26,7.7292,0,0,0,0,0
390,1,17,12,0,0,1,1,0
391,1,36,120,1,1,0,0,0
392,1,21,7.7958,0,0,0,0,0
393,0,28,7.925,1,0,0,0,0
394,1,23,113.275,1,1,0,1,0
395,1,24,16.7,1,0,0,1,0
396,0,22,7.7958,0,0,0,0,0
397,0,31,7.8542,0,0,0,1,0
398,0,46,26,0,0,1,0,0
399,0,23,10.5,0,0,1,0,0
400,1,28,12.65,0,0,1,1,0
401,1,39,7.925,0,0,0,0,0
402,0,26,8.05,0,0,0,0,0
403,0,21,9.825,1,0,0,1,0
404,0,28,15.85,1,0,0,0,0
405,0,20,8.6625,0,0,0,1,0
406,0,34,21,1,0,1,0,0
407,0,51,7.75,0,0,0,0,0
408,1,3,18.75,1,0,1,0,1
409,0,21,7.775,0,0,0,0,0
410,0,21,25.4667,1,0,0,1,0
411,0,23,7.8958,0,0,0,0,0
412,0,14,6.8583,0,0,0,0,1
413,1,33,90,1,1,0,1,0
414,0,19,0,0,0,1,0,0
415,1,44,7.925,0,0,0,0,0
416,0,21,8.05,0,0,0,1,0
417,1,34,32.5,1,0,1,1,0
418,1,18,13,1,0,1,1,0
419,0,30,13,0,0,1,0,0
420,0,10,24.15,1,0,0,0,1
421,0,17,7.8958,0,0,0,0,0
422,0,21,7.7333,0,0,0,0,0
423,0,29,7.875,0,0,0,0,0
424,0,28,14.4,1,0,0,1,0
425,0,18,20.2125,1,0,0,0,0
426,0,14,7.25,0,0,0,0,1
427,1,28,26,1,0,1,1,0
428,1,19,26,0,0,1,1,0
429,0,27,7.75,0,0,0,0,0
430,1,32,8.05,0,0,0,0,0
431,1,28,26.55,0,1,0,0,0
432,1,27,16.1,1,0,0,1,0
433,1,42,26,1,0,1,1,0
434,0,17,7.125,0,0,0,0,0
435,0,50,55.9,1,1,0,0,0
436,1,14,120,1,1,0,0,1
437,0,21,34.375,1,0,0,1,0
438,1,24,18.75,1,0,1,1,0
439,0,64,263,1,1,0,0,0
440,0,31,10.5,0,0,1,0,0
441,1,45,26.25,1,0,1,1,0
442,0,20,9.5,0,0,0,0,0
443,0,25,7.775,1,0,0,0,0
444,1,28,13,0,0,1,1,0
445,1,23,8.1125,0,0,0,0,0
446,1,4,81.8583,1,1,0,0,1
447,1,13,19.5,1,0,1,0,1
448,1,34,26.55,0,1,0,0,0
449,1,5,19.2583,1,0,0,0,1
450,1,52,30.5,0,1,0,0,0
451,0,36,27.75,1,0,1,0,0
452,0,27,19.9667,1,0,0,0,0
453,0,30,27.75,0,1,0,0,0
454,1,49,89.1042,1,1,0,0,0
455,0,24,8.05,0,0,0,0,0
456,1,29,7.8958,0,0,0,0,0
457,0,65,26.55,0,1,0,0,0
458,1,30,51.8625,1,1,0,1,0
459,1,50,10.5,0,0,1,1,0
460,0,24,7.75,0,0,0,0,0
461,1,48,26.55,0,1,0,0,0
462,0,34,8.05,0,0,0,0,0
463,0,47,38.5,0,1,0,0,0
464,0,48,13,0,0,1,0,0
465,0,26,8.05,0,0,0,0,0
466,0,38,7.05,0,0,0,0,0
467,0,18,0,0,0,1,0,0
468,0,56,26.55,0,1,0,0,0
469,0,25,7.725,0,0,0,0,0
470,1,0.75,19.2583,1,0,0,0,1
471,0,15,7.25,0,0,0,0,1
472,0,38,8.6625,0,0,0,0,0
473,1,33,27.75,1,0,1,1,0
474,1,23,13.7917,0,0,1,1,0
475,0,22,9.8375,0,0,0,1,0
476,0,29,52,0,1,0,0,0
477,0,34,21,1,0,1,0,0
478,0,29,7.0458,1,0,0,0,0
479,0,22,7.5208,0,0,0,0,0
480,1,2,12.2875,1,0,0,0,1
481,0,9,46.9,1,0,0,0,1
482,0,28,0,0,0,1,0,0
483,0,50,8.05,0,0,0,0,0
484,1,63,9.5875,0,0,0,1,0
485,1,25,91.0792,1,1,0,0,0
486,0,26,25.4667,1,0,0,1,0
487,1,35,90,1,1,0,1,0
488,0,58,29.7,0,1,0,0,0
489,0,30,8.05,0,0,0,0,0
490,1,9,15.9,1,0,0,0,1
491,0,14,19.9667,1,0,0,0,1
492,0,21,7.25,0,0,0,0,0
493,0,55,30.5,0,1,0,0,0
494,0,71,49.5042,0,1,0,0,0
495,0,21,8.05,0,0,0,0,0
496,0,14,14.4583,0,0,0,0,1
497,1,54,78.2667,1,1,0,1,0
498,0,21,15.1,0,0,0,0,0
499,0,25,151.55,1,1,0,1,0
500,0,24,7.7958,0,0,0,0,0
501,0,17,8.6625,0,0,0,0,0
502,0,21,7.75,0,0,0,1,0
503,0,23,7.6292,0,0,0,1,0
504,0,37,9.5875,0,0,0,1,0
505,1,16,86.5,0,1,0,0,1
506,0,18,108.9,1,1,0,0,0
507,1,33,26,1,0,1,1,0
508,1,28,26.55,0,1,0,0,0
509,0,28,22.525,0,0,0,0,0
510,1,26,56.4958,0,0,0,0,0
511,1,29,7.75,0,0,0,0,0
512,0,22,8.05,0,0,0,0,0
513,1,36,26.2875,0,1,0,0,0
514,1,54,59.4,1,1,0,1,0
515,0,24,7.4958,0,0,0,0,0
516,0,47,34.0208,0,1,0,0,0
517,1,34,10.5,0,0,1,1,0
518,0,25,24.15,0,0,0,0,0
519,1,36,26,1,0,1,1,0
520,0,32,7.8958,0,0,0,0,0
521,1,30,93.5,0,1,0,1,0
522,0,22,7.8958,0,0,0,0,0
523,0,16,7.225,0,0,0,0,1
524,1,44,57.9792,1,1,0,1,0
525,0,17,7.2292,0,0,0,0,0
526,0,40.5,7.75,0,0,0,0,0
527,1,50,10.5,0,0,1,1,0
528,0,29,221.7792,0,1,0,0,0
529,0,39,7.925,0,0,0,0,0
530,0,23,11.5,1,0,1,0,0
531,1,2,26,1,0,1,0,1
532,0,25,7.2292,0,0,0,0,0
533,0,17,7.2292,1,0,0,0,0
534,1,15,22.3583,1,0,0,0,1
535,0,30,8.6625,0,0,0,1,0
536,1,7,26.25,1,0,1,0,1
537,0,45,26.55,0,1,0,0,0
538,1,30,106.425,0,1,0,1,0
539,0,14,14.5,0,0,0,0,1
540,1,22,49.5,1,1,0,1,0
541,1,36,71,1,1,0,1,0
542,0,9,31.275,1,0,0,0,1
543,0,11,31.275,1,0,0,0,1
544,1,32,26,1,0,1,0,0
545,0,50,106.425,1,1,0,0,0
546,0,64,26,0,1,0,0,0
547,1,19,26,1,0,1,1,0
548,1,16,13.8625,0,0,1,0,1
549,0,33,20.525,1,0,0,0,0
550,1,8,36.75,1,0,1,0,1
551,1,17,110.8833,1,1,0,0,0
552,0,27,26,0,0,1,0,0
553,0,14,7.8292,0,0,0,0,1
554,1,22,7.225,0,0,0,0,0
555,1,22,7.775,0,0,0,1,0
556,0,62,26.55,0,1,0,0,0
557,1,48,39.6,1,1,0,1,0
558,0,19,227.525,0,1,0,0,0
559,1,39,79.65,1,1,0,1,0
560,1,36,17.4,1,0,0,1,0
561,0,29,7.75,0,0,0,0,0
562,0,40,7.8958,0,0,0,0,0
563,0,28,13.5,0,0,1,0,0
564,0,25,8.05,0,0,0,0,0
565,0,15,8.05,0,0,0,0,1
566,0,24,24.15,1,0,0,0,0
567,0,19,7.8958,0,0,0,0,0
568,0,29,21.075,1,0,0,1,0
569,0,17,7.2292,0,0,0,0,0
570,1,32,7.8542,0,0,0,0,0
571,1,62,10.5,0,0,1,0,0
572,1,53,51.4792,1,1,0,1,0
573,1,36,26.3875,0,1,0,0,0
574,1,17,7.75,0,0,0,1,0
575,0,16,8.05,0,0,0,0,1
576,0,19,14.5,0,0,0,0,0
577,1,34,13,0,0,1,1,0
578,1,39,55.9,1,1,0,1,0
579,0,15,14.4583,1,0,0,0,1
580,1,32,7.925,0,0,0,0,0
581,1,25,30,1,0,1,1,0
582,1,39,110.8833,1,1,0,1,0
583,0,54,26,0,0,1,0,0
584,0,36,40.125,0,1,0,0,0
585,0,25,8.7125,0,0,0,0,0
586,1,18,79.65,1,1,0,1,0
587,0,47,15,0,0,1,0,0
588,1,60,79.2,1,1,0,0,0
589,0,22,8.05,0,0,0,0,0
590,0,27,8.05,0,0,0,0,0
591,0,35,7.125,0,0,0,0,0
592,1,52,78.2667,1,1,0,1,0
593,0,47,7.25,0,0,0,0,0
594,0,23,7.75,1,0,0,1,0
595,0,37,26,1,0,1,0,0
596,0,36,24.15,1,0,0,0,0
597,1,29,33,0,0,1,1,0
598,0,49,0,0,0,0,0,0
599,0,15,7.225,0,0,0,0,1
600,1,49,56.9292,1,1,0,0,0
601,1,24,27,1,0,1,1,0
602,0,15,7.8958,0,0,0,0,1
603,0,22,42.4,0,1,0,0,0
604,0,44,8.05,0,0,0,0,0
605,1,35,26.55,0,1,0,0,0
606,0,36,15.55,1,0,0,0,0
607,0,30,7.8958,0,0,0,0,0
608,1,27,30.5,0,1,0,0,0
609,1,22,41.5792,1,0,1,1,0
610,1,40,153.4625,0,1,0,1,0
611,0,39,31.275,1,0,0,1,0
612,0,18,7.05,0,0,0,0,0
613,1,28,15.5,1,0,0,1,0
614,0,16,7.75,0,0,0,0,1
615,0,35,8.05,0,0,0,0,0
616,1,24,65,1,0,1,1,0
617,0,34,14.4,1,0,0,0,0
618,0,26,16.1,1,0,0,1,0
619,1,4,39,1,0,1,0,1
620,0,26,10.5,0,0,1,0,0
621,0,27,14.4542,1,0,0,0,0
622,1,42,52.5542,1,1,0,0,0
623,1,20,15.7417,1,0,0,0,0
624,0,21,7.8542,0,0,0,0,0
625,0,21,16.1,0,0,0,0,0
626,0,61,32.3208,0,1,0,0,0
627,0,57,12.35,0,0,1,0,0
628,1,21,77.9583,0,1,0,1,0
629,0,26,7.8958,0,0,0,0,0
630,0,17,7.7333,0,0,0,0,0
631,1,80,30,0,1,0,0,0
632,0,51,7.0542,0,0,0,0,0
633,1,32,30.5,0,1,0,0,0
634,0,30,0,0,1,0,0,0
635,0,9,27.9,1,0,0,0,1
636,1,28,13,0,0,1,1,0
637,0,32,7.925,0,0,0,0,0
638,0,31,26.25,1,0,1,0,0
639,0,41,39.6875,1,0,0,1,0
640,0,26,16.1,1,0,0,0,0
641,0,20,7.8542,0,0,0,0,0
642,1,24,69.3,0,1,0,1,0
643,0,2,27.9,1,0,0,0,1
644,1,18,56.4958,0,0,0,0,0
645,1,0.75,19.2583,1,0,0,0,1
646,1,48,76.7292,1,1,0,0,0
647,0,19,7.8958,0,0,0,0,0
648,1,56,35.5,0,1,0,0,0
649,0,25,7.55,0,0,0,0,0
650,1,23,7.55,0,0,0,1,0
651,0,27,7.8958,0,0,0,0,0
652,1,18,23,1,0,1,1,0
653,0,21,8.4333,0,0,0,0,0
654,1,25,7.8292,0,0,0,1,0
655,0,18,6.75,0,0,0,1,0
656,0,24,73.5,1,0,1,0,0
657,0,29,7.8958,0,0,0,0,0
658,0,32,15.5,1,0,0,1,0
659,0,23,13,0,0,1,0,0
660,0,58,113.275,1,1,0,0,0
